cancer,seed,cindex_A,cindex_B,n_test
BLCA,123,0.5985426786953505,0.5985426786953505,138
BLCA,132,0.6356696738376127,0.6341082581540597,138
BLCA,213,0.6183206106870229,0.6183206106870229,138
BLCA,231,0.6165857043719639,0.6103400416377516,138
BLCA,321,0.630117973629424,0.6250867453157529,138
BRCA,123,0.6837742704666743,0.6945611445441127,383
BRCA,132,0.6746905870330419,0.6825252639945498,383
BRCA,213,0.6794595208356988,0.6852503690246395,383
BRCA,231,0.7081866696945611,0.7004655387759736,383
BRCA,321,0.6400590439423186,0.6530032928352447,383
LUAD,123,0.5865215865215865,0.5895050895050895,172
LUAD,132,0.5410670410670411,0.5403650403650404,172
LUAD,213,0.5572130572130573,0.547911547911548,172
LUAD,231,0.565988065988066,0.5672165672165672,172
LUAD,321,0.5840645840645841,0.5833625833625834,172
LGG,123,0.7643202208419599,0.8081435472739821,166
LGG,132,0.665976535541753,0.6904761904761905,166
LGG,213,0.6973775017253279,0.717391304347826,166
LGG,231,0.6970324361628709,0.7267080745341615,166
LGG,321,0.6642512077294686,0.6808143547273982,166
UCEC,123,0.5501891831738259,0.5248163810371689,198
UCEC,132,0.664811929668373,0.6636990874693969,198
UCEC,213,0.5557533941687068,0.5882483863788115,198
UCEC,231,0.6305363899399066,0.6407745381704875,198
UCEC,321,0.5786779434676163,0.6156243044736256,198
