cancer,method,seed,cindex_A,cindex_B,n_test
BLCA,MCAT,123,0.597155,,138
BLCA,MCAT,132,0.60982,,138
BLCA,MCAT,213,0.608952,,138
BLCA,MCAT,231,0.58501,,138
BLCA,MCAT,321,0.615198,,138
BLCA,NPJ,123,0.598543,0.598543,138
BLCA,NPJ,132,0.63567,0.634108,138
BLCA,NPJ,213,0.618321,0.618321,138
BLCA,NPJ,231,0.616586,0.61034,138
BLCA,NPJ,321,0.630118,0.625087,138
BLCA,PORPOISE,123,0.58796,,138
BLCA,PORPOISE,132,0.60687,,138
BLCA,PORPOISE,213,0.58796,,138
BLCA,PORPOISE,231,0.582755,,138
BLCA,PORPOISE,321,0.57408,,138
BRCA,MCAT,123,0.609898,,347
BRCA,MCAT,132,0.65979,,347
BRCA,MCAT,213,0.647519,,347
BRCA,MCAT,231,0.608819,,347
BRCA,MCAT,321,0.628236,,347
BRCA,NPJ,123,0.683774,0.694561,383
BRCA,NPJ,132,0.674691,0.682525,383
BRCA,NPJ,213,0.67946,0.68525,383
BRCA,NPJ,231,0.708187,0.700466,383
BRCA,NPJ,321,0.640059,0.653003,383
BRCA,PORPOISE,123,0.603695,,347
BRCA,PORPOISE,132,0.559803,,347
BRCA,PORPOISE,213,0.59075,,347
BRCA,PORPOISE,231,0.598706,,347
BRCA,PORPOISE,321,0.567894,,347
LGG,MCAT,123,0.791103,,163
LGG,MCAT,132,0.807473,,163
LGG,MCAT,213,0.719573,,163
LGG,MCAT,231,0.814591,,163
LGG,MCAT,321,0.770819,,163
LGG,NPJ,123,0.76432,0.808144,166
LGG,NPJ,132,0.665977,0.690476,166
LGG,NPJ,213,0.697378,0.717391,166
LGG,NPJ,231,0.697032,0.726708,166
LGG,NPJ,321,0.664251,0.680814,166
LGG,PORPOISE,123,0.816014,,163
LGG,PORPOISE,132,0.825979,,163
LGG,PORPOISE,213,0.837011,,163
LGG,PORPOISE,231,0.806762,,163
LGG,PORPOISE,321,0.814235,,163
LUAD,MCAT,123,0.554973,,167
LUAD,MCAT,132,0.574078,,167
LUAD,MCAT,213,0.597865,,167
LUAD,MCAT,231,0.568271,,167
LUAD,MCAT,321,0.596366,,167
LUAD,NPJ,123,0.586522,0.589505,172
LUAD,NPJ,132,0.541067,0.540365,172
LUAD,NPJ,213,0.557213,0.547912,172
LUAD,NPJ,231,0.565988,0.567217,172
LUAD,NPJ,321,0.584065,0.583363,172
LUAD,PORPOISE,123,0.557408,,167
LUAD,PORPOISE,132,0.580071,,167
LUAD,PORPOISE,213,0.588687,,167
LUAD,PORPOISE,231,0.572205,,167
LUAD,PORPOISE,321,0.547294,,167
UCEC,MCAT,123,0.576749,,190
UCEC,MCAT,132,0.604201,,190
UCEC,MCAT,213,0.64001,,190
UCEC,MCAT,231,0.547625,,190
UCEC,MCAT,321,0.573645,,190
UCEC,NPJ,123,0.550189,0.524816,198
UCEC,NPJ,132,0.664812,0.663699,198
UCEC,NPJ,213,0.555753,0.588248,198
UCEC,NPJ,231,0.630536,0.640775,198
UCEC,NPJ,321,0.578678,0.615624,198
UCEC,PORPOISE,123,0.688231,,190
UCEC,PORPOISE,132,0.676772,,190
UCEC,PORPOISE,213,0.659823,,190
UCEC,PORPOISE,231,0.662927,,190
UCEC,PORPOISE,321,0.684889,,190
