cancer,seed,grid,protocol,c_index_b
LGG,123,none,strategy0,0.8088336783988958
LGG,132,none,strategy0,0.7839889579020014
LGG,213,none,strategy0,0.8071083505866115
LGG,231,none,strategy0,0.7939958592132506
LGG,321,none,strategy0,0.7946859903381642
BRCA,123,none,strategy0,0.6970591574883616
BRCA,132,none,strategy0,0.6803678891790621
BRCA,213,none,strategy0,0.6929714999432269
BRCA,231,none,strategy0,0.6810491654365846
BRCA,321,none,strategy0,0.6891109344839332
BLCA,123,none,strategy0,0.6073907009021513
BLCA,132,none,strategy0,0.6075641915336571
BLCA,213,none,strategy0,0.4909784871616933
BLCA,231,none,strategy0,0.614677307425399
BLCA,321,none,strategy0,0.6292505204718946
LUAD,123,none,strategy0,0.5714285714285714
LUAD,132,none,strategy0,0.5786240786240786
LUAD,213,none,strategy0,0.5793260793260794
LUAD,231,none,strategy0,0.5845910845910846
LUAD,321,none,strategy0,0.5984555984555985
UCEC,123,none,strategy0,0.6501224126418874
UCEC,132,none,strategy0,0.677053193857111
UCEC,213,none,strategy0,0.6492321388827065
UCEC,231,none,strategy0,0.6389939906521255
UCEC,321,none,strategy0,0.6394391275317161
